DW_CustomerID,Country,Year of birth,Continent,Gender,Age,Age_Group
265,United Kingdom,1983,Europe,M,41,41-60
270,Switzerland,2001,Europe,F,23,19-30
274,United States,1951,America,M,73,60+
275,Canada,1972,America,M,52,41-60
277,Canada,1963,America,F,61,60+
281,Netherlands,1974,Europe,F,50,41-60
282,Finland,1964,Europe,F,60,41-60
283,Switzerland,1972,Europe,F,52,41-60
284,United Kingdom,1950,Europe,M,74,60+
285,Canada,1959,America,F,65,60+
286,Norway,1961,Europe,F,63,60+
287,Norway,1958,Europe,F,66,60+
289,France,1972,Europe,F,52,41-60
290,Switzerland,1970,Europe,F,54,41-60
291,Netherlands,2009,Europe,F,15,0-18
297,Netherlands,1965,Europe,F,59,41-60
298,Israel,2001,Europe,F,23,19-30
301,United Kingdom,1949,Europe,M,75,60+
303,United States,2001,America,F,23,19-30
307,United Kingdom,1941,Europe,F,83,60+
309,United States,1950,America,F,74,60+
312,Canada,1963,America,M,61,60+
313,United States,1949,America,M,75,60+
314,Finland,1963,Europe,F,61,60+
315,Finland,1991,Europe,F,33,31-40
317,United States,1966,America,F,58,41-60
318,Finland,1961,Europe,M,63,60+
319,Canada,1958,America,F,66,60+
320,Switzerland,2006,Europe,F,18,0-18
323,Netherlands,1954,Europe,M,70,60+
325,Italy,2008,Europe,F,16,0-18
327,Canada,1999,America,M,25,19-30
329,United States,1950,America,F,74,60+
330,Finland,1945,Europe,M,79,60+
331,Norway,1966,Europe,M,58,41-60
332,Spain,1973,Europe,F,51,41-60
337,United Kingdom,1945,Europe,F,79,60+
338,Belgium,1951,Europe,M,73,60+
340,France,2002,Europe,F,22,19-30
341,Netherlands,1985,Europe,M,39,31-40
343,United States,1951,America,F,73,60+
344,Canada,2006,America,M,18,0-18
345,Norway,1945,Europe,M,79,60+
346,United Kingdom,1966,Europe,F,58,41-60
348,Canada,1998,America,M,26,19-30
351,Canada,1949,America,M,75,60+
352,Denmark,1962,Europe,M,62,60+
355,United Kingdom,1950,Europe,F,74,60+
356,United Kingdom,1971,Europe,M,53,41-60
357,Finland,1991,Europe,M,33,31-40
358,Canada,1959,America,M,65,60+
360,Canada,1955,America,M,69,60+
361,Canada,1951,America,F,73,60+
362,Italy,1974,Europe,F,50,41-60
363,Germany,1980,Europe,M,44,41-60
364,Canada,1958,America,F,66,60+
368,Canada,1964,America,F,60,41-60
369,Denmark,1963,Europe,M,61,60+
370,Canada,1963,America,F,61,60+
371,Finland,1973,Europe,F,51,41-60
374,Finland,1960,Europe,F,64,60+
375,United States,1969,America,F,55,41-60
376,Germany,1969,Europe,F,55,41-60
377,France,1991,Europe,M,33,31-40
378,Germany,1951,Europe,M,73,60+
379,Spain,1948,Europe,F,76,60+
382,Norway,1941,Europe,F,83,60+
387,Canada,1965,America,F,59,41-60
389,United Kingdom,1949,Europe,F,75,60+
390,Germany,1946,Europe,F,78,60+
392,United States,1970,America,F,54,41-60
393,Denmark,2005,Europe,F,19,19-30
395,Norway,1998,Europe,F,26,19-30
398,Canada,1996,America,F,28,19-30
399,Denmark,1951,Europe,M,73,60+
400,Finland,1969,Europe,F,55,41-60
402,United States,2001,America,F,23,19-30
404,Canada,1970,America,M,54,41-60
405,United Kingdom,1957,Europe,F,67,60+
408,United States,1978,America,F,46,41-60
409,United States,1951,America,F,73,60+
413,United Kingdom,2002,Europe,M,22,19-30
414,Canada,1966,America,M,58,41-60
415,United Kingdom,2000,Europe,F,24,19-30
419,United States,1945,America,M,79,60+
420,Canada,1960,America,F,64,60+
421,United Kingdom,1949,Europe,F,75,60+
422,Canada,2001,America,M,23,19-30
423,Sweden,1977,Europe,F,47,41-60
424,Canada,1950,America,F,74,60+
425,Sweden,1979,Europe,M,45,41-60
426,Canada,1942,America,F,82,60+
427,Canada,1951,America,F,73,60+
428,Canada,1948,America,M,76,60+
429,Sweden,1978,Europe,M,46,41-60
430,Italy,1970,Europe,F,54,41-60
431,United States,2001,America,F,23,19-30
434,United States,1948,America,M,76,60+
438,Switzerland,1971,Europe,M,53,41-60
439,Sweden,1973,Europe,F,51,41-60
440,United States,1956,America,M,68,60+
443,United Kingdom,2001,Europe,F,23,19-30
446,Israel,1945,Europe,F,79,60+
447,Israel,1945,Europe,F,79,60+
450,Belgium,1979,Europe,F,45,41-60
451,United Kingdom,1965,Europe,M,59,41-60
452,Norway,2001,Europe,F,23,19-30
453,Sweden,1963,Europe,F,61,60+
454,United States,1974,America,M,50,41-60
458,United States,1991,America,M,33,31-40
459,Netherlands,1953,Europe,F,71,60+
460,Belgium,1975,Europe,F,49,41-60
462,United Kingdom,2005,Europe,F,19,19-30
463,Sweden,1964,Europe,M,60,41-60
465,Sweden,1947,Europe,F,77,60+
467,United Kingdom,1950,Europe,F,74,60+
470,United Kingdom,1958,Europe,M,66,60+
472,United Kingdom,2007,Europe,F,17,0-18
473,Israel,1961,Europe,F,63,60+
475,United Kingdom,1943,Europe,F,81,60+
476,Italy,2000,Europe,M,24,19-30
477,Canada,1961,America,M,63,60+
478,Israel,1954,Europe,M,70,60+
479,Sweden,2007,Europe,M,17,0-18
482,United States,1948,America,F,76,60+
484,Finland,1969,Europe,F,55,41-60
486,United Kingdom,2004,Europe,M,20,19-30
487,Canada,1963,America,M,61,60+
489,Canada,1961,America,F,63,60+
490,Canada,1995,America,M,29,19-30
491,Finland,1969,Europe,M,55,41-60
493,Finland,1999,Europe,M,25,19-30
497,Canada,1950,America,F,74,60+
499,Finland,1974,Europe,F,50,41-60
500,Canada,2006,America,M,18,0-18
501,Belgium,2001,Europe,F,23,19-30
502,Canada,2003,America,F,21,19-30
503,Israel,1962,Europe,F,62,60+
505,Finland,1947,Europe,F,77,60+
507,United Kingdom,1962,Europe,M,62,60+
509,Netherlands,1950,Europe,F,74,60+
512,Finland,1985,Europe,M,39,31-40
513,Canada,1961,America,M,63,60+
514,Netherlands,1964,Europe,F,60,41-60
515,Canada,1945,America,M,79,60+
517,United States,1968,America,F,56,41-60
518,Canada,1998,America,F,26,19-30
519,United States,1960,America,M,64,60+
520,Finland,2002,Europe,F,22,19-30
521,Germany,2006,Europe,F,18,0-18
522,Norway,1968,Europe,F,56,41-60
524,France,1959,Europe,F,65,60+
525,Italy,1971,Europe,F,53,41-60
526,United Kingdom,1966,Europe,F,58,41-60
527,Canada,1946,America,F,78,60+
528,Germany,1969,Europe,F,55,41-60
529,United States,1990,America,F,34,31-40
532,United States,1981,America,M,43,41-60
534,United Kingdom,1948,Europe,M,76,60+
537,Netherlands,2002,Europe,M,22,19-30
538,Canada,1958,America,M,66,60+
539,Canada,1945,America,M,79,60+
540,Sweden,1946,Europe,F,78,60+
541,United Kingdom,1949,Europe,F,75,60+
542,Israel,2003,Europe,M,21,19-30
544,Norway,1954,Europe,F,70,60+
546,Spain,2001,Europe,F,23,19-30
547,Israel,1959,Europe,F,65,60+
548,Netherlands,1966,Europe,M,58,41-60
550,United States,1945,America,M,79,60+
551,Israel,1948,Europe,F,76,60+
552,Italy,1958,Europe,M,66,60+
553,United Kingdom,1976,Europe,M,48,41-60
554,United States,1965,America,M,59,41-60
556,Denmark,1958,Europe,F,66,60+
557,Canada,1942,America,M,82,60+
559,Canada,1974,America,M,50,41-60
563,Denmark,2003,Europe,M,21,19-30
564,United States,1994,America,F,30,19-30
565,United States,1949,America,M,75,60+
566,United Kingdom,2002,Europe,M,22,19-30
567,Canada,1956,America,M,68,60+
568,Germany,1988,Europe,F,36,31-40
569,Finland,1947,Europe,F,77,60+
570,United Kingdom,1960,Europe,M,64,60+
571,Finland,1997,Europe,M,27,19-30
572,United Kingdom,1966,Europe,F,58,41-60
578,United States,1948,America,M,76,60+
579,Canada,1944,America,F,80,60+
580,Norway,1969,Europe,M,55,41-60
581,United Kingdom,2001,Europe,F,23,19-30
582,Netherlands,2005,Europe,F,19,19-30
583,France,1998,Europe,M,26,19-30
584,United Kingdom,1970,Europe,F,54,41-60
585,Germany,2004,Europe,F,20,19-30
587,Denmark,1972,Europe,M,52,41-60
591,Switzerland,1946,Europe,M,78,60+
592,Sweden,1993,Europe,F,31,31-40
597,Canada,1941,America,M,83,60+
602,Israel,1967,Europe,M,57,41-60
604,Finland,2008,Europe,M,16,0-18
606,Belgium,1947,Europe,M,77,60+
607,United Kingdom,1970,Europe,F,54,41-60
611,Canada,1972,America,M,52,41-60
613,Finland,2007,Europe,F,17,0-18
614,Spain,1973,Europe,F,51,41-60
615,Italy,1959,Europe,F,65,60+
616,United Kingdom,1951,Europe,M,73,60+
617,United States,1946,America,F,78,60+
618,Denmark,1992,Europe,F,32,31-40
619,Norway,1968,Europe,F,56,41-60
623,Canada,1947,America,F,77,60+
624,Canada,1947,America,M,77,60+
625,Switzerland,1947,Europe,M,77,60+
626,United Kingdom,1960,Europe,F,64,60+
629,Italy,2000,Europe,F,24,19-30
630,France,1985,Europe,F,39,31-40
631,United Kingdom,1973,Europe,F,51,41-60
632,Germany,1968,Europe,M,56,41-60
634,United States,1970,America,F,54,41-60
641,Switzerland,1968,Europe,M,56,41-60
643,United Kingdom,1951,Europe,M,73,60+
645,United Kingdom,1961,Europe,F,63,60+
646,Canada,1945,America,M,79,60+
648,Sweden,1998,Europe,F,26,19-30
649,Germany,1962,Europe,F,62,60+
653,Denmark,1950,Europe,M,74,60+
655,Sweden,1957,Europe,F,67,60+
656,Canada,1960,America,M,64,60+
657,United States,1962,America,M,62,60+
658,United Kingdom,1990,Europe,F,34,31-40
660,United States,1958,America,F,66,60+
663,Netherlands,2004,Europe,F,20,19-30
665,France,1963,Europe,F,61,60+
667,Italy,2001,Europe,M,23,19-30
669,Canada,1950,America,F,74,60+
670,United Kingdom,1998,Europe,F,26,19-30
672,United States,1959,America,M,65,60+
673,United States,1974,America,F,50,41-60
679,Belgium,1956,Europe,M,68,60+
683,Switzerland,2001,Europe,M,23,19-30
684,Switzerland,1971,Europe,F,53,41-60
685,Spain,1977,Europe,M,47,41-60
687,Canada,1960,America,F,64,60+
689,United States,1985,America,F,39,31-40
690,Italy,1962,Europe,M,62,60+
691,Italy,2004,Europe,M,20,19-30
692,Canada,1971,America,M,53,41-60
694,Denmark,1973,Europe,M,51,41-60
695,Switzerland,1963,Europe,M,61,60+
696,Canada,1992,America,M,32,31-40
697,United Kingdom,1967,Europe,M,57,41-60
698,Canada,1990,America,M,34,31-40
699,United States,1963,America,F,61,60+
703,United Kingdom,1949,Europe,F,75,60+
705,United Kingdom,1985,Europe,F,39,31-40
706,United Kingdom,1969,Europe,M,55,41-60
707,Finland,1964,Europe,F,60,41-60
708,Norway,1981,Europe,M,43,41-60
711,United States,2006,America,M,18,0-18
712,Canada,2000,America,F,24,19-30
714,United Kingdom,2001,Europe,F,23,19-30
715,Israel,1949,Europe,F,75,60+
716,Norway,1948,Europe,F,76,60+
718,Canada,1949,America,M,75,60+
719,Netherlands,2007,Europe,F,17,0-18
721,Italy,1948,Europe,M,76,60+
724,Denmark,1948,Europe,F,76,60+
725,United States,1992,America,F,32,31-40
726,Canada,1992,America,F,32,31-40
727,Netherlands,1976,Europe,F,48,41-60
728,Belgium,1987,Europe,F,37,31-40
730,Sweden,1968,Europe,M,56,41-60
732,Canada,1947,America,M,77,60+
733,Canada,1992,America,M,32,31-40
735,Italy,2004,Europe,M,20,19-30
739,France,1975,Europe,F,49,41-60
741,Finland,1989,Europe,F,35,31-40
742,Canada,1949,America,M,75,60+
743,United States,2004,America,M,20,19-30
744,Israel,1992,Europe,F,32,31-40
745,Spain,1973,Europe,F,51,41-60
746,Sweden,1958,Europe,M,66,60+
750,Denmark,1971,Europe,F,53,41-60
753,France,1972,Europe,F,52,41-60
755,Switzerland,2000,Europe,M,24,19-30
756,Spain,1971,Europe,F,53,41-60
757,Norway,1960,Europe,F,64,60+
759,Switzerland,1957,Europe,F,67,60+
761,Denmark,1963,Europe,M,61,60+
763,United States,1967,America,M,57,41-60
764,United States,2009,America,F,15,0-18
765,United States,1990,America,F,34,31-40
766,Denmark,1978,Europe,M,46,41-60
768,United States,1972,America,F,52,41-60
769,Netherlands,1969,Europe,F,55,41-60
772,United States,1972,America,F,52,41-60
775,Finland,2006,Europe,F,18,0-18
776,Italy,1970,Europe,M,54,41-60
777,United States,1994,America,F,30,19-30
782,France,1968,Europe,M,56,41-60
784,Canada,1962,America,F,62,60+
786,Switzerland,1945,Europe,F,79,60+
787,United Kingdom,1993,Europe,M,31,31-40
789,Canada,1963,America,M,61,60+
793,Denmark,1980,Europe,M,44,41-60
795,United Kingdom,1947,Europe,F,77,60+
797,United States,1958,America,F,66,60+
800,Canada,1999,America,M,25,19-30
802,France,1947,Europe,M,77,60+
804,Sweden,1986,Europe,F,38,31-40
805,Germany,1951,Europe,F,73,60+
806,Canada,1948,America,F,76,60+
808,United Kingdom,1956,Europe,F,68,60+
809,Canada,1978,America,F,46,41-60
811,Finland,1969,Europe,M,55,41-60
812,Canada,2004,America,F,20,19-30
814,United Kingdom,1975,Europe,F,49,41-60
821,United States,1971,America,F,53,41-60
823,United Kingdom,2008,Europe,F,16,0-18
824,United Kingdom,1949,Europe,F,75,60+
825,Italy,1948,Europe,M,76,60+
828,France,1997,Europe,F,27,19-30
830,France,1950,Europe,F,74,60+
831,Canada,1963,America,M,61,60+
832,Switzerland,1973,Europe,F,51,41-60
833,Canada,1953,America,F,71,60+
834,Canada,1999,America,F,25,19-30
835,Canada,1993,America,F,31,31-40
839,Denmark,1962,Europe,M,62,60+
840,United States,1981,America,F,43,41-60
841,Finland,1945,Europe,F,79,60+
842,Sweden,1950,Europe,M,74,60+
845,Italy,1962,Europe,M,62,60+
846,Canada,2009,America,F,15,0-18
847,Canada,1975,America,F,49,41-60
848,Norway,1958,Europe,F,66,60+
850,Italy,1971,Europe,F,53,41-60
854,Canada,1960,America,M,64,60+
855,Norway,1970,Europe,M,54,41-60
856,United States,2004,America,M,20,19-30
857,United Kingdom,1986,Europe,M,38,31-40
858,United States,2006,America,F,18,0-18
859,Canada,1969,America,M,55,41-60
861,Canada,1993,America,F,31,31-40
866,United States,1985,America,M,39,31-40
867,Switzerland,1949,Europe,F,75,60+
869,Norway,1958,Europe,M,66,60+
870,United States,1951,America,F,73,60+
871,Norway,1995,Europe,M,29,19-30
873,United States,1984,America,M,40,31-40
874,United States,1962,America,F,62,60+
875,Spain,1990,Europe,F,34,31-40
876,United Kingdom,1975,Europe,M,49,41-60
879,Sweden,2007,Europe,F,17,0-18
880,Sweden,2001,Europe,F,23,19-30
883,Spain,1968,Europe,F,56,41-60
884,United States,1972,America,M,52,41-60
887,Netherlands,1950,Europe,M,74,60+
888,United States,1971,America,F,53,41-60
889,Belgium,1960,Europe,F,64,60+
890,United Kingdom,1948,Europe,M,76,60+
891,United Kingdom,1946,Europe,F,78,60+
892,United States,1999,America,M,25,19-30
893,Switzerland,1951,Europe,F,73,60+
894,Canada,1974,America,F,50,41-60
896,United Kingdom,1999,Europe,M,25,19-30
897,Denmark,1954,Europe,F,70,60+
898,United States,1996,America,F,28,19-30
900,United States,1976,America,F,48,41-60
904,Canada,1949,America,F,75,60+
905,United States,1960,America,M,64,60+
906,Spain,1967,Europe,M,57,41-60
908,United States,2005,America,F,19,19-30
909,United States,1952,America,F,72,60+
914,Canada,1947,America,F,77,60+
915,Denmark,1967,Europe,M,57,41-60
916,Switzerland,1974,Europe,M,50,41-60
919,Italy,1949,Europe,F,75,60+
920,Belgium,1966,Europe,M,58,41-60
923,Canada,1945,America,F,79,60+
925,Spain,1970,Europe,F,54,41-60
926,France,1967,Europe,F,57,41-60
928,Netherlands,1947,Europe,M,77,60+
929,Denmark,2007,Europe,F,17,0-18
930,Canada,1978,America,M,46,41-60
932,Switzerland,1965,Europe,M,59,41-60
934,Israel,1989,Europe,M,35,31-40
935,Canada,1960,America,F,64,60+
936,Finland,1946,Europe,M,78,60+
937,Canada,1945,America,F,79,60+
940,Belgium,1994,Europe,F,30,19-30
941,Finland,1949,Europe,F,75,60+
942,Norway,1950,Europe,M,74,60+
943,United Kingdom,1950,Europe,M,74,60+
945,United States,1972,America,F,52,41-60
946,United States,1961,America,F,63,60+
947,Germany,1984,Europe,F,40,31-40
948,United Kingdom,1948,Europe,F,76,60+
950,Finland,1971,Europe,F,53,41-60
951,United States,1962,America,M,62,60+
953,Norway,1989,Europe,F,35,31-40
954,Canada,1965,America,F,59,41-60
955,Denmark,1948,Europe,F,76,60+
957,Finland,2000,Europe,F,24,19-30
959,Canada,1967,America,F,57,41-60
961,Canada,2004,America,M,20,19-30
962,United States,2007,America,M,17,0-18
963,United States,1950,America,F,74,60+
964,Canada,1950,America,F,74,60+
965,Sweden,1950,Europe,F,74,60+
966,United Kingdom,1945,Europe,M,79,60+
968,United States,1972,America,M,52,41-60
969,Finland,1980,Europe,F,44,41-60
970,Spain,1951,Europe,F,73,60+
971,Netherlands,1943,Europe,M,81,60+
973,United Kingdom,1958,Europe,M,66,60+
974,Norway,1941,Europe,M,83,60+
975,France,1945,Europe,F,79,60+
976,United States,1954,America,F,70,60+
978,United Kingdom,1951,Europe,M,73,60+
981,United States,1948,America,F,76,60+
984,United States,1948,America,M,76,60+
986,Belgium,1992,Europe,F,32,31-40
991,France,1947,Europe,F,77,60+
992,United States,1970,America,M,54,41-60
993,Netherlands,1983,Europe,F,41,41-60
995,Norway,1971,Europe,M,53,41-60
996,Switzerland,2008,Europe,M,16,0-18
997,United Kingdom,1960,Europe,M,64,60+
1000,Germany,1948,Europe,M,76,60+
1001,United Kingdom,1952,Europe,M,72,60+
1002,Switzerland,1963,Europe,F,61,60+
1003,Norway,1950,Europe,M,74,60+
1005,United States,1961,America,F,63,60+
1006,United States,1955,America,M,69,60+
1007,Spain,1966,Europe,M,58,41-60
1008,United States,1961,America,F,63,60+
1010,Denmark,1974,Europe,M,50,41-60
1014,Finland,1970,Europe,M,54,41-60
1016,United Kingdom,1945,Europe,M,79,60+
1019,Norway,1944,Europe,F,80,60+
1021,Italy,1970,Europe,F,54,41-60
1022,Canada,1949,America,F,75,60+
1023,United States,2004,America,F,20,19-30
1024,Finland,1946,Europe,M,78,60+
1026,United Kingdom,1951,Europe,F,73,60+
1027,United Kingdom,1959,Europe,F,65,60+
1029,Spain,1990,Europe,M,34,31-40
1033,United Kingdom,2006,Europe,F,18,0-18
1035,Canada,1974,America,M,50,41-60
1036,United Kingdom,1972,Europe,M,52,41-60
1040,United Kingdom,2009,Europe,F,15,0-18
1041,United Kingdom,2003,Europe,F,21,19-30
1044,United Kingdom,1949,Europe,M,75,60+
1049,Finland,1962,Europe,M,62,60+
1051,United Kingdom,1969,Europe,F,55,41-60
1052,Italy,1948,Europe,F,76,60+
1053,Italy,1994,Europe,F,30,19-30
1055,Norway,1966,Europe,F,58,41-60
1056,United Kingdom,1947,Europe,F,77,60+
1057,Switzerland,1970,Europe,M,54,41-60
1058,United States,1948,America,F,76,60+
1060,Canada,1961,America,M,63,60+
1061,United Kingdom,1994,Europe,F,30,19-30
1063,Switzerland,2008,Europe,M,16,0-18
1064,United Kingdom,1945,Europe,M,79,60+
1066,Canada,1985,America,M,39,31-40
1070,Finland,1970,Europe,M,54,41-60
1071,United States,1962,America,F,62,60+
1072,Canada,1971,America,M,53,41-60
1073,Spain,2002,Europe,F,22,19-30
1074,Norway,1983,Europe,F,41,41-60
1076,Switzerland,2004,Europe,M,20,19-30
1077,Norway,1965,Europe,F,59,41-60
1079,Finland,2001,Europe,F,23,19-30
1081,United States,1954,America,F,70,60+
1082,United States,1993,America,M,31,31-40
1083,Germany,2006,Europe,F,18,0-18
1084,United Kingdom,1948,Europe,F,76,60+
1086,Canada,1987,America,F,37,31-40
1087,Norway,1986,Europe,F,38,31-40
1088,Belgium,1959,Europe,M,65,60+
1089,Italy,1971,Europe,F,53,41-60
1090,Denmark,1964,Europe,M,60,41-60
1091,United States,1959,America,F,65,60+
1092,United States,1961,America,M,63,60+
1093,Spain,1968,Europe,M,56,41-60
1094,Finland,2005,Europe,F,19,19-30
1095,Denmark,1949,Europe,F,75,60+
1097,United Kingdom,1948,Europe,F,76,60+
1099,Denmark,1988,Europe,F,36,31-40
1100,Finland,1950,Europe,F,74,60+
1104,United Kingdom,1956,Europe,F,68,60+
1106,United Kingdom,2003,Europe,M,21,19-30
1107,United Kingdom,1949,Europe,M,75,60+
1113,Denmark,1950,Europe,F,74,60+
1115,United States,1969,America,M,55,41-60
1116,United Kingdom,1948,Europe,F,76,60+
1117,Denmark,1958,Europe,F,66,60+
1119,United States,1945,America,M,79,60+
1120,France,1946,Europe,F,78,60+
1121,United States,1948,America,F,76,60+
1123,United States,1985,America,M,39,31-40
1124,Canada,1987,America,F,37,31-40
1125,Sweden,2003,Europe,F,21,19-30
1126,Canada,2002,America,F,22,19-30
1127,United States,1997,America,M,27,19-30
1132,Belgium,1968,Europe,F,56,41-60
1135,United States,1958,America,M,66,60+
1136,Israel,1964,Europe,F,60,41-60
1138,Canada,1960,America,M,64,60+
1142,United States,1963,America,F,61,60+
1143,Belgium,1950,Europe,F,74,60+
1145,United States,1949,America,M,75,60+
1146,Sweden,2002,Europe,F,22,19-30
1149,United States,1993,America,F,31,31-40
1150,United Kingdom,1945,Europe,M,79,60+
1153,Canada,1958,America,M,66,60+
1159,United States,1948,America,F,76,60+
1161,United States,1963,America,F,61,60+
1165,Netherlands,1959,Europe,F,65,60+
1166,Norway,1948,Europe,M,76,60+
1168,United States,1947,America,M,77,60+
1169,Canada,1971,America,F,53,41-60
1170,Canada,2003,America,F,21,19-30
1171,Finland,1947,Europe,F,77,60+
1175,United Kingdom,1976,Europe,F,48,41-60
1176,United States,1947,America,M,77,60+
1177,Switzerland,2008,Europe,F,16,0-18
1178,Finland,2004,Europe,M,20,19-30
1179,Sweden,1961,Europe,F,63,60+
1182,United Kingdom,1978,Europe,F,46,41-60
1183,Canada,1994,America,F,30,19-30
1185,United Kingdom,1961,Europe,F,63,60+
1186,Israel,1992,Europe,F,32,31-40
1187,Germany,1955,Europe,M,69,60+
1189,Canada,1951,America,M,73,60+
1190,Denmark,1964,Europe,M,60,41-60
1191,Italy,1971,Europe,M,53,41-60
