DW_OrderID,Sale Date,Quantity, Amount , Total_Discount ,DW_CustomerID
107021-57,05/06/2021,1, $27.99 , $-   ,42512
107021-58,01/01/2021,1, $12.50 , $-   ,48051
107021-59,18/06/2022,1, $27.99 , $-   ,10371
107021-60,13/01/2023,2, $47.98 , $-   ,24228
107021-61,07/05/2021,1, $8.99 , $-   ,39056
107021-62,10/02/2021,1, $8.99 , $-   ,31068
107021-63,03/01/2022,1, $8.99 , $-   ,8156
107021-64,05/03/2022,1, $8.99 , $-   ,18132
107021-65,19/10/2023,1, $8.99 , $-   ,8440
107021-66,08/07/2023,1, $8.99 , $-   ,34938
107021-67,23/09/2023,1, $8.99 , $-   ,21780
107021-68,03/06/2022,1, $9.50 , $-   ,53054
107021-69,30/03/2023,1, $9.50 , $-   ,49520
107021-70,03/10/2023,1, $9.50 , $-   ,2883
107021-71,12/06/2021,2, $19.00 , $-   ,33720
107021-72,01/01/2022,2, $19.00 , $-   ,43977
107021-73,08/03/2023,2, $43.00 , $-   ,7466
107021-74,23/04/2023,1, $21.50 , $-   ,7524
107021-75,18/06/2022,1, $12.50 , $-   ,50388
107021-76,26/08/2023,1, $8.99 , $-   ,41007
107021-77,29/03/2021,1, $8.99 , $-   ,14680
107021-78,16/04/2021,1, $8.99 , $-   ,23360
107021-79,24/10/2021,1, $12.50 , $-   ,26907
107021-80,11/08/2021,2, $15.64 , $2.34 ,3133
107021-81,07/03/2023,1, $8.99 , $-   ,33316
107021-82,13/04/2023,1, $21.50 , $-   ,31510
107021-83,08/05/2023,2, $43.00 , $-   ,53153
107021-84,30/03/2021,1, $20.43 , $1.08 ,49129
107021-85,21/11/2023,1, $8.99 , $-   ,696
107021-86,18/09/2023,1, $8.99 , $-   ,23255
107021-87,09/05/2023,1, $21.50 , $-   ,50884
107021-88,20/02/2023,1, $21.50 , $-   ,4410
107021-89,27/08/2023,1, $21.50 , $-   ,25044
107021-90,14/01/2023,1, $21.50 , $-   ,3284
107021-91,19/01/2023,1, $8.99 , $-   ,25349
107021-92,30/10/2023,1, $21.50 , $-   ,39320
107021-93,16/10/2021,1, $8.99 , $-   ,15433
107021-94,04/01/2023,1, $11.99 , $-   ,52939
107021-95,02/10/2021,1, $11.99 , $-   ,22714
107021-96,05/07/2022,2, $23.98 , $-   ,33367
107021-97,16/12/2021,1, $11.99 , $-   ,36179
107021-98,02/05/2021,1, $11.99 , $-   ,44840
107021-99,05/06/2022,3, $41.68 , $4.83 ,17281
107022-102,27/10/2022,1, $8.99 , $-   ,2500
107022-103,24/10/2023,1, $12.50 , $-   ,28794
107022-104,06/08/2022,1, $35.84 , $-   ,22572
107022-105,27/07/2023,1, $12.50 , $-   ,38300
107022-106,31/03/2021,1, $8.99 , $-   ,18495
107022-107,16/06/2023,1, $12.50 , $-   ,18778
107022-108,03/05/2021,1, $12.50 , $-   ,22148
107022-109,27/01/2023,1, $22.99 , $-   ,41336
107022-110,06/03/2021,1, $22.99 , $-   ,4161
107022-111,27/03/2022,2, $17.98 , $-   ,20986
107022-112,23/07/2022,1, $8.99 , $-   ,15346
107022-113,20/12/2023,1, $8.99 , $-   ,45230
107022-114,10/10/2023,1, $8.99 , $-   ,43338
107022-115,21/10/2022,1, $22.99 , $-   ,39117
107022-116,04/04/2021,1, $8.99 , $-   ,10646
107022-117,23/02/2021,1, $8.99 , $-   ,34649
107022-118,10/11/2021,1, $8.99 , $-   ,31391
107022-119,27/06/2021,1, $20.99 , $-   ,6257
107022-120,29/05/2021,1, $20.99 , $-   ,5244
107022-121,13/07/2023,1, $22.99 , $-   ,31804
107022-122,17/02/2021,1, $8.99 , $-   ,15
107022-123,22/10/2022,2, $17.98 , $-   ,49325
107022-124,09/05/2022,1, $8.99 , $-   ,52889
107022-125,09/07/2022,1, $9.50 , $-   ,15652
107022-126,13/06/2021,1, $9.50 , $-   ,22035
107022-127,06/08/2022,1, $8.55 , $0.95 ,1953
107022-128,14/11/2023,1, $9.50 , $-   ,50705
107022-129,30/03/2021,1, $9.50 , $-   ,26361
107022-130,18/01/2023,1, $9.50 , $-   ,29393
107022-131,16/07/2023,1, $9.50 , $-   ,47512
107022-132,05/08/2021,1, $8.99 , $-   ,10345
107022-133,26/10/2023,1, $12.50 , $-   ,16898
107022-134,13/02/2022,1, $8.99 , $-   ,20916
107022-135,15/08/2022,2, $17.98 , $-   ,27521
107022-136,07/10/2021,1, $8.99 , $-   ,41305
107022-137,03/07/2023,2, $17.98 , $-   ,16159
107022-138,23/12/2023,2, $43.00 , $-   ,7183
107022-139,03/01/2021,1, $8.99 , $-   ,45948
107022-140,19/10/2022,1, $8.99 , $-   ,9507
107022-141,08/11/2023,1, $8.99 , $-   ,23127
107022-142,20/10/2022,1, $8.99 , $-   ,32099
107022-143,04/06/2022,1, $21.50 , $-   ,30112
107022-144,05/11/2021,1, $8.99 , $-   ,18101
107022-145,22/11/2023,1, $8.99 , $-   ,4587
107022-146,15/07/2021,1, $21.50 , $-   ,41417
107022-147,21/03/2021,1, $12.50 , $-   ,44739
107022-148,26/07/2023,1, $8.99 , $-   ,39736
107022-149,21/09/2021,1, $8.99 , $-   ,7687
107022-150,14/06/2021,1, $8.99 , $-   ,44801
107022-151,02/03/2021,1, $8.99 , $-   ,8334
107022-152,16/01/2021,1, $22.99 , $-   ,5644
107022-153,17/09/2022,1, $11.99 , $-   ,32817
107022-154,24/08/2021,1, $18.50 , $-   ,42505
107022-155,28/11/2022,1, $11.99 , $-   ,20698
107022-156,13/02/2023,1, $11.99 , $-   ,50554
107022-157,30/09/2021,2, $55.98 , $-   ,50710
107022-158,29/12/2023,1, $9.50 , $-   ,31688
107022-159,19/12/2021,2, $19.00 , $-   ,39527
107022-160,29/01/2021,2, $18.49 , $-   ,35064
107022-161,15/09/2022,3, $28.61 , $1.88 ,3630
107022-162,30/10/2021,4, $24.96 , $-   ,13946
107022-177,27/04/2023,1, $10.63 , $1.88 ,1197
107023-163,11/02/2023,1, $5.99 , $-   ,45684
107023-164,06/03/2022,1, $7.99 , $-   ,42152
107023-165,28/12/2022,1, $8.99 , $-   ,17410
107023-166,05/08/2023,1, $10.99 , $-   ,5664
107023-167,26/02/2022,1, $5.99 , $-   ,48211
107023-168,30/04/2022,1, $5.99 , $-   ,7258
107023-169,03/07/2022,1, $8.99 , $-   ,19355
107023-170,13/11/2021,1, $5.99 , $-   ,38579
107023-171,24/07/2023,1, $5.99 , $-   ,34066
107023-172,18/04/2021,1, $8.99 , $-   ,14853
107023-173,22/05/2023,1, $12.50 , $-   ,39085
107023-174,26/12/2021,2, $17.98 , $-   ,21112
107023-175,16/10/2021,1, $8.99 , $-   ,11462
107023-176,07/03/2021,1, $12.50 , $-   ,13837
107023-178,16/08/2023,1, $12.50 , $-   ,30956
107023-179,18/02/2021,2, $17.98 , $-   ,32075
107023-180,29/08/2023,1, $12.50 , $-   ,43518
107023-181,01/08/2022,1, $12.50 , $-   ,12014
107023-182,12/02/2022,1, $12.50 , $-   ,1811
107023-183,16/03/2022,1, $23.99 , $-   ,10520
107023-184,08/03/2021,2, $21.25 , $3.75 ,42800
107023-185,25/11/2021,1, $13.46 , $-   ,50481
107023-186,06/09/2022,1, $10.88 , $1.63 ,33390
107023-187,07/04/2021,1, $29.99 , $-   ,21983
107023-188,16/06/2021,1, $8.99 , $-   ,26782
107023-189,11/11/2023,1, $22.99 , $-   ,40637
107023-190,26/12/2021,1, $8.99 , $-   ,42288
107023-191,31/07/2023,2, $17.98 , $-   ,15174
107023-192,26/10/2022,1, $8.99 , $-   ,18623
107023-193,24/04/2023,1, $22.99 , $-   ,28864
107023-194,22/02/2023,1, $8.99 , $-   ,4759
107023-195,29/08/2021,2, $17.98 , $-   ,39254
107023-196,08/12/2021,1, $22.99 , $-   ,14623
107023-197,11/05/2023,1, $8.99 , $-   ,41787
107023-198,22/09/2021,2, $17.98 , $-   ,28135
107023-199,17/09/2021,1, $8.99 , $-   ,19450
107023-200,28/04/2021,1, $8.99 , $-   ,47748
107023-201,11/04/2022,1, $7.82 , $1.17 ,43197
107023-202,23/05/2021,1, $8.99 , $-   ,26938
107023-203,19/11/2021,1, $8.99 , $-   ,46711
107023-204,02/07/2023,1, $8.99 , $-   ,5389
107023-205,04/11/2021,1, $22.99 , $-   ,48518
107023-206,07/07/2023,1, $8.99 , $-   ,13063
107023-207,14/08/2023,2, $17.98 , $-   ,7131
107023-208,14/11/2023,2, $17.98 , $-   ,20639
107023-209,14/01/2021,1, $8.99 , $-   ,18596
107023-210,13/11/2023,1, $32.99 , $-   ,45110
107023-211,04/11/2022,1, $8.55 , $0.95 ,21359
107023-212,30/08/2022,1, $8.55 , $0.95 ,45006
107023-213,26/12/2021,1, $9.50 , $-   ,47314
107023-214,20/03/2021,1, $9.50 , $-   ,11407
107023-215,23/08/2021,2, $19.00 , $-   ,22688
107023-216,29/11/2021,1, $9.50 , $-   ,10917
107023-217,13/03/2022,2, $17.10 , $1.90 ,12608
107023-218,01/08/2023,1, $8.55 , $0.95 ,21966
107023-219,11/11/2022,2, $40.85 , $2.15 ,4532
107023-220,23/08/2021,1, $21.50 , $-   ,2151
107023-221,03/01/2023,1, $8.99 , $-   ,32531
107023-222,30/09/2022,1, $7.82 , $1.17 ,8713
107023-223,24/05/2022,1, $8.99 , $-   ,1119
107023-225,24/09/2021,1, $21.50 , $-   ,19622
107023-226,17/05/2023,1, $8.99 , $-   ,11124
107023-227,18/03/2023,1, $21.50 , $-   ,43262
107023-228,27/05/2022,1, $8.99 , $-   ,44200
107023-229,07/06/2021,1, $8.99 , $-   ,10014
107023-230,10/09/2023,1, $8.99 , $-   ,45309
107023-231,26/03/2023,1, $21.50 , $-   ,16975
107023-232,28/05/2021,2, $17.98 , $-   ,23649
107023-233,28/07/2022,2, $43.00 , $-   ,24765
107023-234,13/01/2023,1, $12.50 , $-   ,20316
107023-235,22/02/2021,1, $8.99 , $-   ,31238
107023-236,12/06/2022,1, $21.50 , $-   ,20180
107023-237,15/10/2021,1, $8.99 , $-   ,22431
107023-238,11/08/2023,1, $8.99 , $-   ,35991
107023-239,30/06/2023,1, $21.50 , $-   ,26536
107023-241,03/11/2022,2, $43.00 , $-   ,49926
107023-242,24/09/2021,1, $21.50 , $-   ,7702
107023-243,02/01/2022,2, $17.98 , $-   ,5581
107023-244,23/07/2022,1, $8.99 , $-   ,36376
107023-245,18/10/2022,2, $17.98 , $-   ,3860
107023-246,19/02/2021,1, $8.99 , $-   ,52620
107023-247,23/03/2022,1, $8.99 , $-   ,11071
107023-248,19/11/2021,1, $21.50 , $-   ,35662
107023-249,05/01/2023,1, $8.99 , $-   ,39307
107023-250,26/02/2023,1, $8.99 , $-   ,42384
107023-251,15/07/2023,1, $21.50 , $-   ,28239
107023-252,12/03/2023,1, $21.50 , $-   ,3947
107023-253,13/11/2023,1, $8.99 , $-   ,17901
107023-254,14/04/2022,1, $21.50 , $-   ,49402
107023-255,19/02/2021,1, $8.99 , $-   ,5115
107023-256,27/08/2023,1, $21.50 , $-   ,48711
107023-257,18/10/2022,1, $8.99 , $-   ,30294
107023-258,19/09/2023,1, $11.99 , $-   ,707
107023-259,10/11/2022,2, $23.98 , $-   ,6130
107023-260,26/01/2023,1, $11.99 , $-   ,47
107023-261,12/05/2023,1, $11.99 , $-   ,41849
107023-262,17/08/2021,1, $11.99 , $-   ,24488
107023-263,30/12/2022,1, $11.99 , $-   ,25584
107023-264,06/02/2021,1, $11.99 , $-   ,52334
107023-265,16/04/2022,2, $23.98 , $-   ,32346
107023-266,27/12/2023,1, $18.50 , $-   ,43984
107023-267,25/08/2022,1, $11.99 , $-   ,45091
107023-268,29/11/2022,1, $11.99 , $-   ,29520
107023-269,17/02/2021,1, $11.99 , $-   ,37263
107023-270,04/05/2023,3, $23.97 , $-   ,38517
107023-271,18/02/2021,3, $36.59 , $1.88 ,7051
107023-272,31/07/2021,2, $17.98 , $-   ,3711
107023-273,12/10/2021,4, $42.98 , $-   ,7546
107023-274,30/11/2021,3, $57.97 , $-   ,47525
107023-275,07/02/2022,2, $30.49 , $-   ,9800
107023-276,05/02/2021,2, $30.49 , $-   ,11012
107023-277,26/09/2021,3, $26.97 , $-   ,41115
107023-278,16/05/2022,2, $31.00 , $-   ,40639
107023-279,16/04/2021,2, $26.97 , $4.03 ,3479
107023-280,14/11/2022,2, $16.81 , $1.17 ,7160
107023-281,24/12/2021,2, $35.98 , $-   ,52105
107023-296,27/01/2022,2, $21.25 , $3.75 ,7241
107024-282,04/12/2023,1, $6.99 , $-   ,10530
107024-283,02/06/2022,1, $5.99 , $-   ,30655
107024-284,20/08/2022,1, $5.99 , $-   ,35996
107024-285,23/02/2021,2, $11.98 , $-   ,37085
107024-286,23/07/2021,1, $6.99 , $-   ,43223
107024-287,15/01/2023,1, $6.99 , $-   ,32774
107024-288,05/06/2021,1, $8.99 , $-   ,38729
107024-289,25/04/2022,1, $8.99 , $-   ,9429
107024-290,09/01/2023,1, $10.99 , $-   ,49015
107024-291,13/03/2023,1, $5.99 , $-   ,33280
107024-292,08/08/2023,1, $5.99 , $-   ,11659
107024-293,16/07/2023,1, $12.50 , $-   ,37537
107024-294,28/02/2022,2, $71.68 , $-   ,51997
107024-295,20/07/2022,1, $27.99 , $-   ,5095
107024-297,18/07/2022,1, $12.50 , $-   ,19895
107024-298,20/09/2021,2, $17.98 , $-   ,49357
107024-299,27/03/2021,1, $8.99 , $-   ,37893
107024-300,25/06/2022,1, $8.99 , $-   ,38588
107024-301,06/04/2021,1, $22.99 , $-   ,9147
107024-302,22/09/2021,1, $8.99 , $-   ,14872
107024-303,23/10/2023,1, $8.99 , $-   ,27261
107024-304,27/06/2023,1, $8.99 , $-   ,13736
107024-305,27/11/2021,1, $8.99 , $-   ,5782
107024-306,24/04/2021,1, $22.99 , $-   ,1868
107024-307,05/12/2021,1, $9.50 , $-   ,34600
107024-308,26/09/2021,1, $9.50 , $-   ,35902
107024-309,25/07/2021,1, $9.50 , $-   ,30014
107024-310,03/08/2023,1, $9.50 , $-   ,28287
107024-311,30/08/2022,1, $9.50 , $-   ,40368
107024-312,28/10/2021,1, $9.50 , $-   ,25784
107024-313,04/02/2021,1, $8.55 , $0.95 ,569
107024-314,26/05/2023,1, $8.55 , $0.95 ,12246
107024-315,19/09/2021,1, $9.50 , $-   ,48983
107024-316,19/03/2023,1, $9.50 , $-   ,27228
107024-317,23/07/2023,1, $9.50 , $-   ,34954
107024-318,05/06/2023,1, $9.50 , $-   ,50425
107024-319,19/09/2022,1, $8.55 , $0.95 ,29074
107024-320,24/01/2022,1, $9.50 , $-   ,15938
107024-321,05/08/2022,1, $21.50 , $-   ,51522
107024-322,12/02/2021,1, $8.99 , $-   ,43558
107024-323,22/03/2023,1, $8.99 , $-   ,1451
107024-324,03/10/2022,1, $21.50 , $-   ,41812
107024-325,09/02/2023,1, $8.99 , $-   ,35634
107024-326,06/12/2023,1, $8.99 , $-   ,36674
107024-327,10/02/2021,1, $21.50 , $-   ,42370
107024-328,19/02/2021,1, $8.99 , $-   ,37938
107024-329,20/02/2021,1, $21.50 , $-   ,15998
107024-330,27/08/2021,1, $8.99 , $-   ,13911
107024-331,20/11/2022,1, $8.99 , $-   ,43057
107024-332,09/10/2023,2, $43.00 , $-   ,8241
107024-333,12/08/2021,1, $8.99 , $-   ,48304
107024-334,03/11/2021,1, $8.99 , $-   ,15977
107024-335,30/04/2022,1, $8.99 , $-   ,35249
107024-336,12/04/2021,1, $8.99 , $-   ,16654
107024-337,15/06/2021,1, $8.99 , $-   ,44281
107024-338,22/10/2021,1, $8.99 , $-   ,52807
107024-339,27/08/2023,1, $21.50 , $-   ,32272
107024-340,21/09/2021,2, $17.98 , $-   ,34479
107024-341,23/09/2022,1, $21.50 , $-   ,37797
107024-342,06/10/2022,1, $21.50 , $-   ,4510
107024-343,14/06/2023,1, $20.43 , $1.08 ,29422
107024-344,20/09/2021,1, $21.50 , $-   ,43657
107024-345,28/04/2023,1, $8.99 , $-   ,19933
107024-346,16/09/2022,1, $8.99 , $-   ,36764
107024-347,17/08/2022,1, $21.50 , $-   ,52805
107024-348,10/11/2023,1, $12.50 , $-   ,50567
107024-349,04/09/2023,2, $17.98 , $-   ,23778
107024-350,07/11/2023,1, $8.99 , $-   ,16910
107024-351,11/12/2021,1, $20.43 , $1.08 ,36418
107024-352,10/03/2023,1, $8.99 , $-   ,52342
107024-353,13/05/2022,1, $8.99 , $-   ,13245
107024-354,21/01/2021,1, $8.99 , $-   ,3814
107024-355,10/03/2022,1, $8.99 , $-   ,34146
107024-356,21/03/2022,1, $12.50 , $-   ,9794
107024-357,05/09/2021,1, $21.50 , $-   ,33731
107024-358,10/11/2021,1, $12.50 , $-   ,27711
107024-359,25/09/2022,1, $8.99 , $-   ,16777
107024-360,23/05/2021,1, $20.43 , $1.08 ,32857
107024-361,03/06/2021,1, $21.50 , $-   ,51059
107024-362,26/09/2021,1, $23.99 , $-   ,24295
107024-363,28/09/2022,1, $23.99 , $-   ,46450
107024-364,07/03/2023,1, $21.50 , $-   ,6419
107024-365,23/06/2022,1, $11.99 , $-   ,41528
107024-366,23/03/2022,2, $23.98 , $-   ,48240
107024-367,23/09/2021,1, $11.99 , $-   ,36559
107024-368,16/04/2022,1, $11.99 , $-   ,49101
107024-369,28/04/2021,1, $11.99 , $-   ,27704
107024-370,27/09/2023,1, $11.99 , $-   ,43995
107024-371,17/09/2022,1, $8.55 , $0.95 ,30446
107024-372,18/08/2023,4, $51.98 , $-   ,32258
107024-373,04/06/2021,3, $38.97 , $-   ,3144
107024-374,15/11/2022,4, $55.66 , $8.32 ,12647
107024-375,16/09/2023,2, $17.54 , $0.95 ,27337
107024-376,21/09/2023,2, $18.98 , $-   ,19913
107024-377,30/07/2021,2, $23.98 , $-   ,27872
107024-378,25/09/2022,3, $47.97 , $-   ,27929
107024-379,18/09/2023,3, $27.48 , $-   ,25531
107024-380,01/04/2022,2, $22.45 , $-   ,9980
107024-381,03/11/2021,2, $30.49 , $-   ,51315
107024-382,16/07/2021,2, $30.49 , $-   ,31943
107024-383,18/04/2022,2, $31.00 , $-   ,31200
107024-384,29/11/2023,2, $19.00 , $-   ,50045
107024-444,14/03/2022,1, $10.63 , $1.88 ,29979
107025-385,16/11/2021,1, $8.99 , $-   ,46446
107025-386,11/09/2022,1, $5.99 , $-   ,39915
107025-387,09/02/2023,1, $5.99 , $-   ,2790
107025-388,10/01/2022,1, $5.99 , $-   ,2280
107025-389,18/11/2022,1, $5.99 , $-   ,37870
107025-390,31/07/2023,1, $5.99 , $-   ,27971
107025-391,07/03/2021,1, $8.99 , $-   ,21915
107025-392,26/02/2023,1, $5.99 , $-   ,43186
107025-393,11/08/2023,1, $8.99 , $-   ,52432
107025-394,12/01/2021,1, $27.99 , $-   ,7597
107025-395,18/01/2021,1, $12.50 , $-   ,48713
107025-396,24/11/2023,1, $27.99 , $-   ,22874
107025-397,29/06/2021,1, $12.50 , $-   ,5582
107025-398,11/06/2021,1, $12.50 , $-   ,35208
107025-399,01/02/2023,1, $13.46 , $-   ,33970
107025-400,18/07/2021,1, $12.50 , $-   ,3298
107025-401,22/08/2023,1, $8.99 , $-   ,26439
107025-402,17/07/2022,1, $8.99 , $-   ,16917
107025-403,26/12/2021,1, $8.99 , $-   ,5480
107025-404,20/05/2022,1, $8.99 , $-   ,17922
107025-405,26/02/2021,1, $8.99 , $-   ,11318
107025-406,27/02/2023,1, $8.99 , $-   ,17415
107025-407,25/01/2022,1, $48.00 , $-   ,31170
107025-408,13/06/2023,1, $9.50 , $-   ,9190
107025-409,07/11/2022,1, $9.50 , $-   ,21432
107025-410,13/07/2023,1, $8.99 , $-   ,48932
107025-411,29/04/2023,1, $21.50 , $-   ,7289
107025-412,09/04/2021,1, $8.99 , $-   ,28181
107025-413,29/05/2022,1, $21.50 , $-   ,18877
107025-414,22/06/2022,2, $43.00 , $-   ,38533
107025-415,29/08/2021,1, $21.50 , $-   ,22630
107025-416,10/12/2022,1, $20.43 , $1.08 ,45663
107025-417,21/11/2023,1, $20.43 , $1.08 ,9761
107025-418,07/05/2023,1, $8.99 , $-   ,1462
107025-419,03/01/2021,1, $21.50 , $-   ,31636
107025-420,20/01/2022,2, $17.98 , $-   ,2423
107025-422,08/06/2021,2, $37.00 , $-   ,5053
107025-423,22/06/2023,1, $11.99 , $-   ,7198
107025-424,18/12/2021,1, $11.99 , $-   ,25676
107025-425,16/07/2021,1, $11.99 , $-   ,50269
107025-426,25/05/2022,1, $9.50 , $-   ,14035
107025-427,06/12/2022,1, $8.99 , $-   ,11374
107025-428,27/11/2022,4, $33.47 , $-   ,21714
107025-429,25/02/2021,3, $20.97 , $-   ,5551
107025-430,22/01/2022,2, $18.98 , $-   ,31212
107025-431,11/04/2022,2, $17.98 , $-   ,34786
107025-432,24/06/2022,2, $17.98 , $-   ,14636
107025-433,09/08/2022,2, $25.00 , $-   ,15495
107025-434,09/02/2021,2, $37.42 , $1.08 ,5437
107025-435,01/07/2022,3, $27.55 , $0.95 ,14096
107026-38289,26/12/2022,1, $20.39 , $3.60 ,49224
107026-436,17/02/2022,1, $5.99 , $-   ,11353
107026-437,20/02/2021,1, $5.99 , $-   ,41566
107026-438,18/04/2023,1, $5.99 , $-   ,12852
107026-439,14/08/2023,1, $35.84 , $-   ,39754
107026-440,14/10/2023,1, $8.99 , $-   ,28306
107026-441,28/07/2021,1, $23.99 , $-   ,49022
107026-442,16/02/2023,1, $12.50 , $-   ,4808
107026-443,02/08/2022,2, $25.00 , $-   ,24031
107026-445,25/12/2022,1, $8.99 , $-   ,53068
107026-446,24/12/2022,1, $8.99 , $-   ,42117
107026-447,10/03/2021,1, $8.99 , $-   ,22626
107026-448,14/07/2021,1, $8.99 , $-   ,52587
107026-449,05/06/2021,1, $8.99 , $-   ,33013
107026-450,09/04/2023,1, $8.99 , $-   ,50958
107026-451,08/02/2021,1, $8.99 , $-   ,1759
107026-452,25/06/2023,1, $8.99 , $-   ,19830
107026-453,21/07/2023,1, $8.99 , $-   ,12300
107026-454,16/10/2023,1, $8.99 , $-   ,6522
107026-455,02/09/2021,1, $8.99 , $-   ,21274
107026-456,15/04/2021,1, $15.99 , $-   ,859
107026-457,21/07/2023,1, $9.50 , $-   ,31162
107026-458,20/03/2022,1, $8.55 , $0.95 ,11402
107026-459,22/07/2021,1, $8.55 , $0.95 ,13100
107026-460,23/08/2021,1, $8.99 , $-   ,4346
107026-461,02/02/2023,1, $21.50 , $-   ,19389
107026-462,10/02/2023,1, $8.99 , $-   ,11236
107026-463,02/04/2023,1, $8.99 , $-   ,52741
107026-464,06/09/2023,1, $8.99 , $-   ,22200
107026-465,08/01/2022,1, $8.99 , $-   ,37691
107026-466,19/03/2023,1, $8.99 , $-   ,13838
107026-467,26/05/2022,1, $21.50 , $-   ,21457
107026-468,06/03/2022,1, $8.99 , $-   ,14176
107026-469,29/07/2021,1, $8.99 , $-   ,32231
107026-470,10/11/2023,2, $43.00 , $-   ,2507
107026-471,12/03/2022,1, $20.43 , $1.08 ,51272
107026-472,12/01/2021,1, $12.50 , $-   ,19244
107026-473,27/03/2021,1, $21.50 , $-   ,18709
107026-475,31/05/2021,1, $8.99 , $-   ,52932
107026-476,07/03/2022,1, $11.99 , $-   ,47633
107026-477,18/09/2023,1, $11.99 , $-   ,11835
107026-478,14/04/2023,1, $18.50 , $-   ,12982
107026-479,01/11/2023,1, $18.50 , $-   ,23860
107026-480,23/07/2022,3, $26.97 , $-   ,4727
107026-481,22/09/2021,2, $13.03 , $1.95 ,49329
107026-482,25/10/2021,2, $17.98 , $-   ,47844
107026-483,27/10/2022,4, $37.60 , $1.88 ,37038
107026-484,11/08/2023,3, $44.97 , $-   ,46440
107026-485,24/08/2023,2, $18.49 , $-   ,38040
107026-486,01/09/2022,2, $19.00 , $-   ,49568
107027-487,26/12/2021,1, $5.99 , $-   ,1999
107027-488,07/09/2021,2, $11.98 , $-   ,34974
107027-489,23/08/2021,1, $7.99 , $-   ,2037
107027-490,28/08/2021,1, $6.99 , $-   ,18488
107027-491,04/09/2022,1, $8.99 , $-   ,25664
107027-492,19/10/2023,1, $27.99 , $-   ,2345
107027-493,10/02/2021,1, $27.99 , $-   ,26166
107027-494,08/02/2021,2, $25.00 , $-   ,49292
107027-495,14/05/2021,1, $27.99 , $-   ,40358
107027-496,13/04/2021,1, $27.99 , $-   ,2690
